Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13)
2.5896187665900602e-08,0.25182963052389445,3.76,0.0,0.8993482427067769,0.9999997623081566,1.8727169620430656e-21,3.116943561738122e-14,1.6951325044774998e-07,1.3112806874672896e-06,1.7022163529042039e-07,1.244437515559079e-06,1.8456683606590764e-12,9.54472974221413e-14,6.6759835492393e-08,6.684123079255275e-08,6.270207119500199e-10,0.0
2.830506241280305e-08,0.2518296359459367,3.76,0.0,0.8993481049045263,0.9999997335977465,3.187403583206994e-21,4.4372053675633195e-14,1.8523855475140352e-07,1.4332564343118778e-06,1.8607311825369328e-07,1.3536555415002706e-06,2.191972434264193e-12,1.0406563969406319e-13,7.949220904600809e-08,7.959859677353272e-08,7.282201468251119e-10,0.0
3.07139371597055e-08,0.25182964136757036,3.76,0.0,0.8993479671023061,0.9999997038109213,5.193630408484839e-21,6.135732295538991e-14,2.0095932415322392e-07,1.5552321540261548e-06,2.0192919460457453e-07,1.4618062518361022e-06,2.5649845795070524e-12,1.1262158469702351e-13,9.328724390839019e-08,9.342322458388815e-08,8.3395113318589e-10,0.0
3.3122811906607945e-08,0.25182964678879866,3.76,0.0,0.8993478293001167,0.9999996729581836,8.155273447227863e-21,8.277677483052313e-14,2.166760024508855e-07,1.6772078465740688e-06,2.1779023516330676e-07,1.5689000765707403e-06,2.9640372123331656e-12,1.211152492038476e-13,1.0813413920773656e-07,1.0830468485086661e-07,9.437698460822405e-10,0.0
3.553168665351039e-08,0.25182965220962295,3.76,0.0,0.8993476914979577,0.9999996410498943,1.2404988930512645e-20,1.093307089947485e-13,2.3238898994516004e-07,1.7991835119201063e-06,2.3365660695083603e-07,1.6749473437837504e-06,3.3884746429009335e-12,1.295470460422952e-13,1.2402219973588428e-07,1.2423265011466666e-07,1.0572759576273607e-09,0.0
3.794056140041284e-08,0.2518296576300432,3.76,0.0,0.8993475536958295,0.999999608096278,1.8355093431760423e-20,1.4176758158468115e-13,2.480986477261223e-07,1.921159150029288e-06,2.4952867322609833e-07,1.7799582806274904e-06,3.837652992334278e-12,1.3791743131169669e-13,1.4094083491456836e-07,1.4119689383137324e-07,1.174108350789404e-09,0.0
4.034943614731529e-08,0.25182966305005805,3.76,0.0,0.8993474158937319,0.9999995741074281,2.6509244207605803e-20,1.8088340399156212e-13,2.63805301523843e-07,2.0431347608671596e-06,2.654067935229803e-07,1.8839430143158855e-06,4.3109401458148634e-12,1.462265734418184e-13,1.588795577706561e-07,1.5918728938455457e-07,1.293941268695743e-09,0.0
4.2758310894217736e-08,0.25182966846966465,3.76,0.0,0.8993472780916653,0.9999995390933102,3.7474850228365444e-20,2.275211534684244e-13,2.795092451722734e-07,2.165110344399788e-06,2.8129132368686154e-07,1.9869115731020475e-06,4.80771539182884e-12,1.5447475860146015e-13,1.7782798392251903e-07,1.7819380910758984e-07,1.416480850745687e-09,0.0
4.5167185641120184e-08,0.2518296738888591,3.76,0.0,0.8993471402896293,0.9999995030637674,5.197620550135583e-20,2.8257019557329316e-13,2.9521074372603413e-07,2.2870859005937525e-06,2.9718261591072805e-07,2.0888738872444934e-06,5.327369208932873e-12,1.6266246072934552e-13,1.9777583057841424e-07,1.9820652331758858e-07,1.54146201581894e-09,0.0
4.757606038802263e-08,0.25182967930763656,3.76,0.0,0.8993470024876243,0.9999994660285223,7.086835062320003e-20,3.4696571723868204e-13,3.10910036276161e-07,2.4090614294161385e-06,3.130810187709222e-07,2.189839789963705e-06,5.869303257710003e-12,1.7078994136668078e-13,2.1871291554514198e-07,2.1921559935923421e-07,1.6686456465277703e-09,0.0
