Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7)
3.679528506876429e-08,0.29281140065940103,3.76,0.0,0.5032411911017414,0.9999999845069629,3.0876649120056844e-18,1.7663856471279718e-16,1.309723258512873e-07,1.2491220216502255e-07,1.0111571255450858e-08,2.1583706639392935e-13,7.068214129027153e-15,5.572165239045508e-09,5.136607276262985e-09,5.617164644121446e-10,2.0013942410300014e-10,9.717357395138534e-09,7.713330478643058e-11,1.1796422180266898e-10
3.950680026110934e-08,0.29281140120127946,3.76,0.0,0.5032411806385446,0.9999999829216496,4.390216420407969e-18,2.337528520480121e-16,1.406924059396562e-07,1.3368060434013543e-07,1.0938461139105132e-08,2.4839595272930855e-13,7.57579010828315e-15,6.399133003112417e-09,5.8645914395913195e-09,6.902519861205039e-10,2.3354978405437054e-10,1.043476596303242e-08,8.848532494559046e-11,1.4559423950914397e-10
4.221831545345439e-08,0.2928114017440738,3.76,0.0,0.5032411701562228,0.9999999812774111,6.096645062990094e-18,3.0354905559156975e-16,1.5042766651790613e-07,1.4239111217449827e-07,1.178371963301223e-08,2.8313232918518837e-13,8.080812607894517e-15,7.27977353666014e-09,6.632970857916287e-09,8.362841569800797e-10,2.692760416104221e-10,1.1152449211188828e-08,1.0059386970986077e-10,1.7716866932874326e-10
4.492983064579944e-08,0.2928114022878345,3.76,0.0,0.5032411596535289,0.9999999795746087,8.293207362511334e-18,3.877245701515245e-16,1.6017910859249464e-07,1.5104410792034222e-07,1.2648590848137458e-08,3.2002583228308706e-13,8.583296335136817e-15,8.213440970605347e-09,7.440434165029526e-09,1.000742110642689e-09,3.0724632329118327e-10,1.1870424323584646e-08,1.1346228159624907e-10,2.1293395977672102e-10
4.7641345838144485e-08,0.2928114028326104,3.76,0.0,0.5032411491292494,0.9999999778136008,1.1077285711701112e-17,4.880702104457682e-16,1.6994770186182853e-07,1.5963997130546292e-07,1.3534283137279505e-08,3.5905624795037094e-13,9.083255998209843e-15,9.199495137861548e-09,8.285702798669397e-09,1.184524701070544e-09,3.4738978394881273e-10,1.2588708276951498e-08,1.270953822307666e-10,2.531335885453282e-10
5.035286103048953e-08,0.29281140337844863,3.76,0.0,0.5032411385822049,0.9999999759947416,1.4557977219227625e-17,6.064680567222228e-16,1.7973438521511003e-07,1.6817907955029977e-07,1.4441969706925761e-08,4.002035104317654e-13,9.580706377574948e-15,1.023730152788379e-08,9.167530224227464e-09,1.3885012617522632e-09,3.896368671386203e-10,1.3307317842626619e-08,1.4149938585761244e-10,2.980080890275188e-10
5.306437622283458e-08,0.2928114039253947,3.76,0.0,0.5032411280112492,0.9999999741183816,1.8856669339660096e-17,7.448893377015321e-16,1.895400673076393e-07,1.7666180738488765e-07,1.5372789302189447e-08,4.434477014047297e-13,1.0075662067068528e-14,1.1326231241566062e-08,1.0084701175904223e-08,1.6135123475976951e-09,4.3391947171153874e-10,1.4026269588389108e-08,1.5668181601515455e-10,3.4779507663126144e-10
5.577589141517963e-08,0.2928114044734922,3.76,0.0,0.5032411174152686,0.9999999721848678,2.4107602077504254e-17,9.053923517150657e-16,1.9936562721198898e-07,1.850885270652516e-07,1.632784696387476e-08,4.88769048948937e-13,1.0568137512823324e-14,1.2465660947256297e-08,1.1036030917697374e-08,1.8603704575564727e-09,4.801710232594686e-10,1.4745579880259605e-08,1.7265142543116992e-10,4.0272927456965747e-10
5.848740660752468e-08,0.2928114050227836,3.76,0.0,0.503241106793181,0.9999999701945442,3.045841681562626e-17,1.0901204256681942e-15,2.0921191510690783e-07,1.934596083895144e-07,1.730821481969031e-08,5.361479264854494e-13,1.1058147130959802e-14,1.3654972837418362e-08,1.2020364522814971e-08,2.1298607390990546e-09,5.283264896933302e-10,1.546526488427657e-08,1.8941811916466613e-10,4.6304253931554364e-10
6.119892179986972e-08,0.2928114055733093,3.76,0.0,0.5032410961439353,0.9999999681477512,3.807069215572812e-17,1.3012999104321543e-15,2.190797529636153e-07,2.017754187140497e-07,1.8314932869584144e-08,5.855648518145782e-13,1.1545705256501516e-14,1.4893554585349228e-08,1.3036576169258294e-08,2.422741676482762e-09,5.783223832153017e-10,1.618534056826598e-08,2.0699288092400798e-10,5.289638859626224e-10
6.391043699221478e-08,0.29281140612510886,3.76,0.0,0.5032410854665113,0.9999999660448258,4.712046716376562e-17,1.541238211484864e-15,2.2896993521930217e-07,2.100363229696844e-07,1.9349009755154403e-08,6.370004861458455e-13,1.2030826102504513e-14,1.618079930193869e-08,1.4083568450911609e-08,2.7397457634610344e-09,6.300967595281924e-10,1.690582270360506e-08,2.253877024300989e-10,6.00719513500705e-10
6.933346737690488e-08,0.2928114072326785,3.76,0.0,0.5032410640231916,0.9999999616719111,7.03119959469282e-17,2.1170146737827975e-15,2.4882037700199637e-07,2.2639486096578382e-07,2.150312234935142e-08,7.45851237682065e-13,1.2993812412763653e-14,1.8898877016645015e-08,1.6265643394211245e-08,3.448927293338059e-09,7.387407897249211e-10,1.8348068442035666e-08,2.646901355898522e-10,7.62624476279043e-10
7.421419472312596e-08,0.2928114082342114,3.76,0.0,0.5032410446181913,0.9999999575476343,9.818050319100863e-17,2.7583084410644076e-15,2.6676962204466665e-07,2.4093337829608635e-07,2.3544894305625858e-08,8.505297931809768e-13,1.3852305461937681e-14,2.1505595825130152e-08,1.832432979774594e-08,4.176530952109965e-09,8.420123354841507e-10,1.9647633928004338e-08,3.030055383546078e-10,9.305046347033118e-10
7.909492206934704e-08,0.29281140924041676,3.76,0.0,0.5032410251073339,0.9999999532465926,1.3415790423013245e-16,3.532169288695444e-15,2.848024296093883e-07,2.5529956619055735e-07,2.568964155775377e-08,9.614546591750308e-13,1.4703118913573078e-14,2.426078834788449e-08,2.0466907899168885e-08,4.9925652280416444e-09,9.501510941993788e-10,2.0948752797233486e-08,3.44203642737609e-10,1.1206796241282869e-09
