Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13)
5.3258902148736915e-09,0.2786657447843528,3.76,0.0,0.5530744359006561,0.9999999882719226,0.0,0.0,1.0945025196942909e-06,1.0827744421625895e-06,1.0902374360779755e-18,2.5501811294089234e-13,8.672750763335563e-14,1.1727735681090866e-08,1.172773568000063e-08,5.304000661783814e-17
6.143876752241464e-09,0.2786657536010779,3.76,0.0,0.553074267799747,0.9999999844098877,0.0,0.0,1.2626034287614328e-06,1.2470133162371208e-06,1.257683675047218e-18,3.4377021066004344e-13,1.0094684639089074e-13,1.558966759289881e-08,1.5589667591641124e-08,1.0780692242420328e-16
6.961863289609237e-09,0.2786657624177989,3.76,0.0,0.5530740996989052,0.9999999800042657,0.0,0.0,1.4307042708360623e-06,1.410708536288488e-06,1.4251300038635114e-18,4.4556121776743784e-13,1.1512919757401432e-13,1.999517345716528e-08,1.9995173455740148e-08,2.0070949717883516e-16
7.77984982697701e-09,0.2786657712345157,3.76,0.0,0.5530739315981301,0.9999999750568562,0.0,0.0,1.5988050459189308e-06,1.5738619017404811e-06,1.5925764410031165e-18,5.602983038685464e-13,1.2927572730685621e-13,2.4942453908276203e-08,2.494245390668362e-08,3.4886740893391677e-16
8.597836364344783e-09,0.2786657800512282,3.76,0.0,0.5530737634974222,0.9999999695694528,0.0,0.0,1.7669057540153015e-06,1.7364752061106232e-06,1.7600230048816148e-18,6.878894148165087e-13,1.4338680259270224e-13,3.042971548255866e-08,3.042971548079864e-08,5.738309547076971e-16
9.415822901712556e-09,0.2786657888679366,3.76,0.0,0.5530735953967814,0.9999999635438427,0.0,0.0,1.935006395135452e-06,1.8985502368948723e-06,1.9274697138527236e-18,8.282432615581597e-13,1.5746204615550664e-13,3.645517073303501e-08,3.6455170731107534e-08,9.020821267213658e-16
9.999999999999999e-09,0.2786658065013408,3.76,0.0,0.5530734753452812,0.9999999589121165,0.0,0.0,2.055057895663333e-06,2.0139700109763316e-06,2.0470543390639697e-18,9.362407410158398e-13,1.6749200305995694e-13,4.108677852196484e-08,4.1086778519917794e-08,1.2171700154813233e-15
1.1051795976448101e-08,0.2786658065013408,3.76,0.0,0.5530732591957012,0.9999999498851238,0.0,0.0,2.271207476516228e-06,2.221092598216649e-06,2.2623636401848485e-18,1.1468757869991737e-12,1.8550524282570649e-13,5.011354191682126e-08,5.0113541914558894e-08,2.0019952853645203e-15
1.2392688332767733e-08,0.27866582095419273,3.76,0.0,0.5530729836354624,0.9999999370998954,0.0,0.0,2.5467677168690415e-06,2.4838676087834456e-06,2.5368532862364636e-18,1.4453285551566397e-12,2.0838398726992241e-13,6.289844729871218e-08,6.289844729617532e-08,3.5384388833756097e-15
1.3733580689087366e-08,0.27866583540703344,3.76,0.0,0.553072708075404,0.9999999228904881,0.0,0.0,2.8223277775901862e-06,2.7452182595790066e-06,2.8113435488290873e-18,1.776953938298709e-12,2.31167504332639e-13,7.710749809944746e-08,7.710749809663608e-08,5.896551002031334e-15
1.5074473045407e-08,0.278665849859863,3.76,0.0,0.5530724325155262,0.9999999072646211,0.0,0.0,3.0978876589007924e-06,3.0051522703508642e-06,3.0858345072269184e-18,2.141361551039307e-12,2.538563485148995e-13,9.273297460164828e-08,9.273297459856245e-08,9.366733499236113e-15
1.6415365401726633e-08,0.2786658643126813,3.76,0.0,0.553072156955829,0.9999998902299726,0.0,0.0,3.3734473610829816e-06,3.2636773192651795e-06,3.360326240266953e-18,2.538164506018351e-12,2.764507185926843e-13,1.0976719860630569e-07,1.0976719860294534e-07,1.4299817069907034e-14
1.7756257758046266e-08,0.2786658787654886,3.76,0.0,0.5530718813963124,0.9999998717941794,0.0,0.0,3.649006884485186e-06,3.5208010427807183e-06,3.634818826357687e-18,2.9669793062425846e-12,2.9895076059216546e-13,1.282025335532917e-07,1.2820253354965683e-07,2.1112372797430607e-14
1.90971501143659e-08,0.27866589321828467,3.76,0.0,0.5530716058369766,0.9999998519648368,0.0,0.0,3.924566229527321e-06,3.7765310359707796e-06,3.909312343482422e-18,3.4274256720272304e-12,3.21356948500925e-13,1.4803138419403955e-07,1.480313841901302e-07,3.029189622144504e-14
2.0438042470685532e-08,0.2786659076710697,3.76,0.0,0.5530713302778214,0.9999998307494983,0.0,0.0,4.200125396705885e-06,4.030874852630589e-06,4.183806869200364e-18,3.91912665205281e-12,3.43669736690463e-13,1.6924619647928105e-07,1.6924619647509724e-07,4.2401904975952615e-14
2.1778934827005166e-08,0.2786659221238434,3.76,0.0,0.5530710547188472,0.9999998081556772,0.0,0.0,4.475684386598948e-06,4.2838400056688085e-06,4.458302480650648e-18,4.441708673125445e-12,3.6588931603802407e-13,1.9183945716272789e-07,1.9183945715826958e-07,5.80869401755262e-14
2.31198271833248e-08,0.27866593657660627,3.76,0.0,0.553070779160054,0.9999997841908457,0.0,0.0,4.751243199871076e-06,4.535433967270209e-06,4.73279925455399e-18,4.994801388347952e-12,3.8801597303940913e-13,2.1580369363327128e-07,2.1580369362853854e-07,7.80774830210681e-14
2.5801611895964062e-08,0.27866596548209854,3.76,0.0,0.5530702280430104,0.9999997321778376,0.0,0.0,5.302360299671793e-06,5.034538002877671e-06,5.281796594527062e-18,6.191053493350428e-12,4.319920865105626e-13,2.678154050431697e-07,2.678154050378878e-07,1.3435532755905829e-13
2.848339660860333e-08,0.27866599438754674,3.76,0.0,0.5530696769266914,0.9999996747694473,0.0,0.0,5.853476703334782e-06,5.5282459315018566e-06,5.830799494609977e-18,7.504984131461052e-12,4.75601130249292e-13,3.252223532960757e-07,3.252223532902448e-07,2.1897870912958414e-13
3.1165181321242595e-08,0.2786660232929509,3.76,0.0,0.5530691258110975,0.999999612024009,0.0,0.0,6.404592419769879e-06,6.0166160871931885e-06,6.379808553737854e-18,8.933745274627413e-12,5.188456540348475e-13,3.8796619726122255e-07,3.8796619725484243e-07,3.4136546054714163e-13
3.652875074652112e-08,0.2786660811036277,3.76,0.0,0.5530680235820862,0.9999994707521828,0.0,0.0,7.506821835822591e-06,6.977573272232612e-06,7.477847512566589e-18,1.2124615149005352e-11,6.042510248485755e-13,5.292343421606176e-07,5.292343421531385e-07,7.462853382777918e-13
4.0826773848930575e-08,0.2786661274292978,3.76,0.0,0.5530671403280196,0.9999993426106963,0.0,0.0,8.39007644538684e-06,7.732685852441485e-06,8.357768667762831e-18,1.499032326703335e-11,6.716582565994453e-13,6.573723523894114e-07,6.573723523810518e-07,1.2892913976427918e-12
4.512479695134003e-08,0.2786661737548562,3.76,0.0,0.553066257075821,0.9999992014295165,0.0,0.0,9.273329461477101e-06,8.474756870907638e-06,9.237712509733074e-18,1.8118944384780186e-11,7.381602721597186e-13,7.98549520001748e-07,7.985495199925079e-07,2.106736159157096e-12
4.942282005374948e-08,0.27866622008030334,3.76,0.0,0.5530653738254923,0.9999990474338607,0.0,0.0,1.015658097280931e-05,9.204011544220648e-06,1.0117681350723039e-17,2.149991933480481e-11,8.037673555352166e-13,9.525405464528635e-07,9.525405464427432e-07,3.2892296260134666e-12
5.3720843156158936e-08,0.27866626640563963,3.76,0.0,0.553064490577035,0.9999988808450612,0.0,0.0,1.1039831085076435e-05,9.920671201845727e-06,1.0997677463028426e-17,2.5122987173618378e-11,8.684896414358248e-13,1.1191240031485306e-06,1.1191240031375301e-06,4.9443081908546606e-12
5.801886625856839e-08,0.2786663127308657,3.76,0.0,0.5530636073304513,0.9999987018806265,0.0,0.0,1.1923079922049845e-05,1.0624953351029412e-05,1.1877703079658873e-17,2.8978177458159193e-11,9.323384976376808e-13,1.2980822654420172e-06,1.2980822654301367e-06,7.19753717778334e-12
6.231688936097784e-08,0.2786663590559815,3.76,0.0,0.5530627240857426,0.9999985107543105,0.0,0.0,1.2806327626572179e-05,1.1317071743463069e-05,1.2757760395019653e-17,3.305580377531123e-11,9.95324375935726e-13,1.4892014449840166e-06,1.4892014449712563e-06,1.0193504859685118e-11
6.66149124633873e-08,0.2786664053809879,3.76,0.0,0.553061840842911,0.9999983076761743,0.0,0.0,1.3689574361507533e-05,1.199723643889564e-05,1.3637851565561948e-17,3.734645699830829e-11,1.057456214941673e-12,1.6922713251648328e-06,1.6922713251511926e-06,1.4096773755033748e-11
7.091293556579675e-08,0.27866645170588517,3.76,0.0,0.553060957601958,0.9999980928526525,0.0,0.0,1.4572820310593755e-05,1.2665653870153592e-05,1.4517978710447334e-17,4.1840997017284024e-11,1.1187449685802456e-12,1.9070852952446424e-06,1.9070852952301222e-06,1.9092734038239917e-11
7.52109586682062e-08,0.27866649803067356,3.76,0.0,0.5530600743628848,0.9999978664866144,0.0,0.0,1.545606567925047e-05,1.3322526905174555e-05,1.5398143912181448e-17,4.653054655007195e-11,1.1792022473027374e-12,2.1334402875172143e-06,2.133440287501813e-06,2.5388412664119584e-11
